rooms,xCoords,yCoords,numMonsters,miniBoss
 -1,0,0,0,0
0,0,0,0,0
1,0,1,2,0
2,-1,1,8,0
3,-1,0,1,0
4,-2,0,2,0
5,-3,0,2,0
6,-3,-1,5,0
7,-4,-1,4,0
8,-4,0,0,0
9,-4,-2,0,0
10,-5,-1,0,0
11,0,2,0,1
12,-2,-1,0,0
13,-2,-2,0,0
14,-2,-3,2,0
15,-2,-4,0,0
16,-1,-2,0,0
17,-1,-1,3,0
18,-2,-5,4,0
19,-2,-6,5,0
20,-3,-6,0,0
21,-1,-6,0,0
22,-2,-7,0,0
23,-3,-2,0,1
24,-3,-5,0,0
25,-4,-5,0,0
26,-4,-4,3,0
27,-4,-3,0,0
28,-4,-6,0,0
29,-4,-7,4,0
30,-3,-7,0,0
31,-4,-8,5,0
32,-5,-7,0,0
33,-5,-8,8,0
34,-5,-5,0,1
35,-5,-6,0,0
36,-6,-6,2,0
37,-6,-7,2,0
38,-6,-5,1,0
39,-6,-4,6,0
40,-7,-4,1,0
41,-6,-8,5,0
42,-6,-9,4,0
43,-7,-9,0,0
44,-5,-9,0,0
45,-6,-10,0,0
46,-7,-3,0,1
47,-5,-4,0,0
48,-5,-3,0,0
49,-6,-3,0,0
50,-6,-2,0,0
