rooms,xCoords,yCoords,numMonsters,miniBoss
 -1,0,0,0,0
0,0,0,0,0
1,1,0,6,0
2,1,-1,0,0
3,2,-1,8,0
4,1,-2,0,0
5,0,-1,3,0
6,2,-2,4,0
7,3,-2,5,0
8,3,-3,0,0
9,3,-1,0,0
10,4,-2,0,0
11,2,0,0,1
12,2,1,0,0
13,3,-4,4,0
14,3,-5,5,0
15,2,-5,0,0
16,4,-5,0,0
17,3,-6,0,0
18,3,0,3,0
19,4,0,1,0
20,2,-4,0,0
21,1,-4,0,1
22,1,-3,0,0
23,0,-3,1,0
24,-1,-3,6,0
25,-1,-4,0,0
26,-2,-4,3,0
27,-3,-4,3,0
28,-3,-3,2,0
29,-2,-3,1,0
30,-4,-3,4,0
31,-5,-3,4,0
32,-5,-2,0,0
33,-5,-4,0,0
34,-6,-3,0,0
35,-4,-4,0,1
36,-6,-4,0,0
37,-6,-5,0,0
38,-5,-5,0,0
39,-5,-6,0,0
40,-5,-7,0,0
