rooms,xCoords,yCoords,numMonsters,deadlyScore
 -1,0,0,0,0
0,0,0,0,0
1,-1,0,1,0
2,-1,-1,4,0
3,0,-1,3,0
4,-2,0,2,0
5,-2,-1,0,0
6,1,-1,8,0
7,2,-1,7,0
8,2,-2,0,0
9,2,0,0,0
10,3,-1,0,0
11,-1,-2,0,0
12,3,0,0,0
13,4,0,0,0
14,4,1,3,0
15,3,1,1,0
16,5,1,8,0
17,4,-1,2,0
18,5,-1,1,0
19,5,0,0,0
20,6,0,0,0
21,6,-1,0,0
22,7,-1,0,0
23,7,0,3,0
24,7,1,0,0
25,6,1,8,0
26,6,2,8,0
27,7,2,0,0
28,5,2,0,0
29,6,3,0,0
30,6,4,0,0
31,7,4,3,0
32,4,2,0,0
33,4,3,0,0
34,3,3,0,0
35,3,2,3,0
36,2,2,0,0
37,3,4,0,0
38,3,5,0,0
39,3,6,0,0
