rooms,xCoords,yCoords,numMonsters,miniBoss
 -1,0,0,0,0
0,0,0,0,0
1,1,0,0,0
2,1,-1,8,0
3,2,-1,2,0
4,1,-2,5,0
5,1,-3,2,0
6,2,-3,8,0
7,2,-2,2,0
8,3,-1,0,0
9,3,0,0,1
10,2,0,0,0
11,3,-2,0,0
12,3,-3,2,0
13,4,-3,3,0
14,4,-4,0,0
15,4,-5,2,0
16,3,-5,7,0
17,2,-5,7,0
18,2,-4,0,0
19,2,-6,0,0
20,1,-5,0,0
21,5,-3,0,1
22,5,-4,0,0
23,5,-5,0,0
24,5,-6,0,0
25,5,-7,8,0
26,6,-7,2,0
27,5,-8,8,0
28,5,-9,6,0
29,4,-9,0,0
30,6,-9,0,0
31,5,-10,0,0
32,4,-6,1,0
33,3,-6,2,0
34,3,-7,0,0
35,2,-7,0,1
36,1,-7,0,0
37,1,-6,0,0
38,0,-6,0,0
