rooms,xCoords,yCoords,numMonsters,miniBoss
 -1,0,0,0,0
0,0,0,0,0
1,1,0,0,0
2,1,-1,3,0
3,2,-1,5,0
4,1,-2,3,0
5,0,-1,0,0
6,-1,0,4,0
7,2,-2,0,1
8,3,-2,0,0
9,0,-2,6,0
10,0,-3,0,0
11,-1,-3,0,0
12,-2,-3,4,0
13,-2,-4,2,0
14,-1,-4,0,0
15,0,-4,0,1
16,1,-4,0,0
17,2,-4,0,0
18,3,-4,6,0
19,3,-3,0,0
20,4,-4,0,0
21,3,-5,0,0
22,5,-4,4,0
23,5,-5,0,0
24,-1,-5,0,1
25,-2,-5,0,0
26,6,-5,2,0
27,6,-6,4,0
28,7,-6,3,0
29,2,-3,2,0
30,1,-3,3,0
31,4,-3,0,0
32,5,-3,6,0
33,5,-2,3,0
34,5,-1,6,0
35,5,0,4,0
36,4,0,6,0
37,5,1,3,0
38,6,0,7,0
39,6,-1,8,0
40,4,-5,0,1
41,7,0,0,0
42,7,1,0,0
43,8,1,0,0
44,8,2,0,0
45,9,2,0,0
